id,nct_id,outcome_id,non_inferiority_type,non_inferiority_description,param_type,param_value,dispersion_type,dispersion_value,p_value_modifier,p_value,ci_n_sides,ci_percent,ci_lower_limit,ci_upper_limit,ci_upper_limit_na_comment,p_value_description,method,method_description,estimate_description,groups_description,other_analysis_description,ci_upper_limit_raw,ci_lower_limit_raw,p_value_raw
52590677,NCT03638258,103399605,SUPERIORITY,Missing data imputed using linear interpolation and LOCF where linear interpretation was not computationally possible.,,,,,,0.059,,,,,,,ANCOVA,ANCOVA with a factor of treatment group and a covariate of baseline DLQI score.,,Difference from vehicle cream at Week 6,,,,0.059
52590678,NCT03638258,103399605,SUPERIORITY,Missing data imputed using linear interpolation and LOCF where linear interpretation was not computationally possible.,,,,,,0.051,,,,,,,ANCOVA,ANCOVA with a factor of treatment group and a covariate of baseline DLQI score.,,Difference from vehicle cream at Week 8,,,,0.051
52590679,NCT03638258,103399605,SUPERIORITY,Missing data imputed using linear interpolation and LOCF where linear interpretation was not computationally possible.,,,,,,0.013,,,,,,,ANCOVA,ANCOVA with a factor of treatment group and a covariate of baseline DLQI score.,,Difference from vehicle cream at Week 8,,,,0.013
52590680,NCT03638258,103399605,SUPERIORITY,Missing data imputed using linear interpolation and LOCF where linear interpretation was not computationally possible.,,,,,,0.036,,,,,,,ANCOVA,ANCOVA with a factor of treatment group and a covariate of baseline DLQI score.,,Difference from vehicle cream at Week 12,,,,0.036
52590681,NCT03638258,103399605,SUPERIORITY,Missing data imputed using linear interpolation and LOCF where linear interpretation was not computationally possible.,,,,,,0.001,,,,,,,ANCOVA,ANCOVA with a factor of treatment group and a covariate of baseline DLQI score.,,Difference from vehicle cream at Week 12,,,,0.001
52590682,NCT02350127,103399607,SUPERIORITY,,Mean Difference (Final Values),1.79,STANDARD_ERROR_OF_MEAN,1.22,,0.14,TWO_SIDED,95.0,-0.59,4.18,,,Mixed Models Analysis,,,"adjusted for participant baseline MOCA, robust VCE",,4.18,-0.59,0.14
52590683,NCT02350127,103399607,SUPERIORITY,,Mean Difference (Final Values),2.9,STANDARD_ERROR_OF_MEAN,1.4,,0.03,TWO_SIDED,95.0,0.2,5.6,,,Mixed Models Analysis,,,restricted to completers,,5.6,0.2,0.03
52590684,NCT02350127,103399608,SUPERIORITY,,Mean Difference (Final Values),-0.22,STANDARD_ERROR_OF_MEAN,0.52,,0.68,TWO_SIDED,95.0,-1.23,0.8,,,Mixed Models Analysis,,"Adjusting for baseline participant MOCA scores, robust vce.",,,0.80,-1.23,0.68
52590685,NCT02350127,103399609,SUPERIORITY,,Mean Difference (Final Values),-0.51,STANDARD_ERROR_OF_MEAN,1.32,,0.7,TWO_SIDED,95.0,-3.09,2.08,,,Mixed Models Analysis,,,"adjusting for baseline participant MOCA, robust VCE",,2.08,-3.09,0.70
52590686,NCT02350127,103399610,SUPERIORITY,,Mean Difference (Final Values),5.1,STANDARD_ERROR_OF_MEAN,2.2,,0.02,TWO_SIDED,95.0,0.8,9.4,,,Mixed Models Analysis,,,,,9.4,0.8,0.02
52590687,NCT02350127,103399611,SUPERIORITY,,Mean Difference (Final Values),3.1,STANDARD_ERROR_OF_MEAN,4.3,,0.47,TWO_SIDED,95.0,-5.4,11.6,,,Mixed Models Analysis,,,,,11.6,-5.4,0.47
52590688,NCT02350127,103399612,SUPERIORITY,,Mean Difference (Final Values),0.0,STANDARD_ERROR_OF_MEAN,0.54,,0.99,TWO_SIDED,95.0,-1.1,1.1,,,Mixed Models Analysis,,,,,1.1,-1.1,0.99
52590689,NCT02350127,103399613,SUPERIORITY,,Mean Difference (Final Values),-0.1,STANDARD_ERROR_OF_MEAN,3.7,,0.98,TWO_SIDED,95.0,-7.4,7.2,,,Mixed Models Analysis,,,,,7.2,-7.4,0.98
52590690,NCT02350127,103399614,SUPERIORITY,,Mean Difference (Final Values),0.4,STANDARD_ERROR_OF_MEAN,1.5,,0.8,TWO_SIDED,95.0,-2.5,3.3,,,Mixed Models Analysis,,,,,3.3,-2.5,0.80
52590691,NCT02350127,103399615,SUPERIORITY,,Mean Difference (Final Values),-1.0,STANDARD_ERROR_OF_MEAN,1.1,,0.38,TWO_SIDED,95.0,-3.1,1.2,,,Mixed Models Analysis,,,,,1.2,-3.1,0.38
52590692,NCT02350127,103399616,SUPERIORITY,,Mean Difference (Final Values),-0.8,STANDARD_ERROR_OF_MEAN,0.45,,0.075,TWO_SIDED,95.0,-1.7,0.1,,,Mixed Models Analysis,,,,,0.1,-1.7,0.075
52590693,NCT02350127,103399617,SUPERIORITY,,Mean Difference (Final Values),1.6,STANDARD_ERROR_OF_MEAN,1.7,,0.35,TWO_SIDED,95.0,-1.7,5.0,,,Mixed Models Analysis,,,,,5.0,-1.7,0.35
52590694,NCT02350127,103399618,SUPERIORITY,,Mean Difference (Final Values),-2.0,STANDARD_ERROR_OF_MEAN,2.1,,0.35,TWO_SIDED,95.0,-6.1,2.1,,,Mixed Models Analysis,,,,,2.1,-6.1,0.35
52590695,NCT02350127,103399619,SUPERIORITY,,Mean Difference (Final Values),0.2,STANDARD_ERROR_OF_MEAN,0.3,,0.54,TWO_SIDED,95.0,-0.4,0.8,,,Mixed Models Analysis,,,,,0.8,-0.4,0.54
52590696,NCT02350127,103399620,SUPERIORITY,,Mean Difference (Final Values),0.4,STANDARD_ERROR_OF_MEAN,0.9,,0.69,TWO_SIDED,95.0,-1.5,2.2,,,Mixed Models Analysis,,,,,2.2,-1.5,0.69
52590697,NCT02350127,103399621,SUPERIORITY,,Median Difference (Final Values),-0.8,STANDARD_ERROR_OF_MEAN,5.2,,0.88,TWO_SIDED,95.0,-10.9,9.3,,,Mixed Models Analysis,,,,,9.3,-10.9,0.88
52590698,NCT02350127,103399622,SUPERIORITY,,Mean Difference (Final Values),0.9,STANDARD_ERROR_OF_MEAN,0.8,,0.26,TWO_SIDED,95.0,-0.7,2.5,,,Mixed Models Analysis,,,,,2.5,-0.7,0.26
52590699,NCT02350127,103399623,SUPERIORITY,,Mean Difference (Final Values),-1.8,STANDARD_ERROR_OF_MEAN,1.1,,0.08,TWO_SIDED,95.0,-3.9,0.2,,,Mixed Models Analysis,,,,,0.2,-3.9,0.08
52590700,NCT01287416,103399625,SUPERIORITY_OR_OTHER,,,,,,,0.61,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05. Effect size determined by partial eta-squared to be 0.01.,Mixed Models Analysis,Model was adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the groups would not differ in terms of SIRI scores across the three time points. We used linear mixed models to determine whether scores were different between the two groups over time.,,,,0.61
52590701,NCT01287416,103399626,SUPERIORITY_OR_OTHER,,,,,,,0.95,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05. Effect size determined by partial eta-squared to be 0.02.,Mixed Models Analysis,Model was adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the groups would not differ in terms of level of knowledge across the three time points.,,,,0.95
52590702,NCT01287416,103399627,SUPERIORITY_OR_OTHER,,,,,,,0.33,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05. Effect size determined by partial eta-squared to be 0.02.,Mixed Models Analysis,Model was adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the two groups would not differ in terms of self-reported skill level across the three time points.,,,,0.33
52590703,NCT01287416,103399628,SUPERIORITY_OR_OTHER,,,,,,,0.03,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05. Effect size determined by partial eta-squared to be 0.05.,Mixed Models Analysis,Model adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the groups would not differ in terms of level of knowledge across the three time points.,,,,0.03
52590704,NCT01287416,103399629,SUPERIORITY_OR_OTHER,,,,,,,0.63,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05. Effect size determined by partial eta-squared to be 0.01.,Mixed Models Analysis,Model was adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the two groups would not differ on level of self-reported preparedness to help a suicidal person.,,,,0.63
52590705,NCT01287416,103399630,SUPERIORITY_OR_OTHER,,,,,,,0.21,,95.0,,,,A priori threshold for significance set to p\<.05.,ANCOVA,Model adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the groups would not differ on their level of distress across the two time points.,,,,0.21
52590706,NCT01287416,103399631,SUPERIORITY_OR_OTHER,,,,,,,0.46,,95.0,,,,A priori threshold for significance set at p\<.05.,ANCOVA,Model was adjusted for differences in educational attainment at baseline.,,Null hypothesis was that the groups would not differ in terms of alcohol use across the two time points.,,,,0.46
52590707,NCT01287416,103399632,SUPERIORITY_OR_OTHER,,,,,,,0.28,,95.0,,,,The a priori threshold for statistical significance was set at p\<.05.,ANCOVA,Model is adjusted for differences in educational attainment at baseline.,,The null hypothesis was that the two groups would not differ in resiliency scores across the follow-up period.,,,,0.28
52590708,NCT01287416,103399633,SUPERIORITY_OR_OTHER,,,,,,,0.33,,95.0,,,,A priori threshold for significance set at p\<.05.,Chi-squared,,,,,,,0.33
52590709,NCT01287416,103399634,SUPERIORITY_OR_OTHER,,,,,,,0.62,,95.0,,,,A priori threshold for significance set at p\<.05.,Chi-squared,,,,,,,0.62
52590710,NCT01287416,103399635,SUPERIORITY_OR_OTHER,,,,,,,1.0,,95.0,,,,A priori threshold for significance set to p\<.05.,Fisher Exact,,,,,,,1.00
52590711,NCT01287416,103399636,SUPERIORITY_OR_OTHER,,,,,,,1.0,,95.0,,,,A priori threshold for significance set to p\<.05.,Fisher Exact,,,,,,,1.00
52590712,NCT01287416,103399637,SUPERIORITY_OR_OTHER,,,,,,,0.064,,95.0,,,,A priori threshold for significance set to p\<.05.,Fisher Exact,,,,,,,0.064
52590713,NCT01287416,103399639,SUPERIORITY_OR_OTHER,,,,,,,0.14,,95.0,,,,a priori threshold for significance set a p\<.05.,Fisher Exact,unadjusted model,,Null hypothesis was that the groups would not differ in terms of their gatekeeper behaviours,,,,0.14
52590714,NCT01287416,103399640,SUPERIORITY_OR_OTHER,,,,,,,0.41,,95.0,,,,A priori threshold for significance set at p\<.05.,Chi-squared,Unadjusted model,,Null hypothesis was that the groups would not differ on gatekeeper behaviours.,,,,0.41
52590715,NCT03790878,103399641,OTHER,,,,,,,0.018,,,,,,,ANCOVA,,,,,,,0.018
52590716,NCT03790878,103399642,OTHER,,,,,,,0.396,,,,,,,Multilevel modeling,,,,,,,0.396
52590717,NCT03790878,103399643,OTHER,,,,,,,0.002,,,,,,,Multilevel modeling,,,,,,,0.002
52590718,NCT02188784,103399705,SUPERIORITY_OR_OTHER,,Mean Difference (Net),21.03,,,,0.457,TWO_SIDED,95.0,-34.38,76.43,,,"Regression, Linear",,,,,76.43,-34.38,0.4570
52590719,NCT02188784,103399706,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-0.77,,,,0.9487,TWO_SIDED,95.0,-24.12,22.59,,,"Regression, Linear",,,Change from Baseline to Week 8,,22.59,-24.12,0.9487
52709198,NCT03055338,103641826,OTHER,,Difference in % versus Placebo,-1.2,,,,,TWO_SIDED,95.0,-9.6,7.0,,,,,Difference in % = MK-8918 - Placebo,,Based on Miettinen \& Nurminen method.,7.0,-9.6,
52709199,NCT03055338,103641827,OTHER,,Difference in LSM,0.2,,,,,TWO_SIDED,95.0,-0.2,0.6,,,,,Difference in LSM = MK-8189 - Risperidone,,,0.6,-0.2,
52590720,NCT02188784,103399706,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-12.67,,,,0.1921,TWO_SIDED,95.0,-31.71,6.37,,,"Regression, Linear",,,Change from Baseline to Week 16,,6.37,-31.71,0.1921
52590721,NCT02188784,103399707,SUPERIORITY_OR_OTHER,,Mean Difference (Net),182.43,,,,0.4296,TWO_SIDED,95.0,-272.14,637.0,,,"Regression, Linear",,,,,637.0,-272.14,0.4296
52590722,NCT02188784,103399708,SUPERIORITY_OR_OTHER,,Mean Difference (Net),3.6,,,,0.0722,TWO_SIDED,95.0,-0.33,7.52,,,"Regression, Linear",,,Change from baseline to week 8,,7.52,-0.33,0.0722
52590723,NCT02188784,103399708,SUPERIORITY_OR_OTHER,,Mean Difference (Net),0.71,,,,0.6927,TWO_SIDED,95.0,-2.83,4.24,,,"Regression, Linear",,,Change from baseline to week 16,,4.24,-2.83,0.6927
52590724,NCT02188784,103399709,SUPERIORITY_OR_OTHER,,Mean Difference (Net),3.56,,,,0.0643,TWO_SIDED,95.0,-0.21,7.33,,,"Regression, Linear",,,,,7.33,-0.21,0.0643
52590725,NCT02188784,103399710,SUPERIORITY_OR_OTHER,,Mean Difference (Net),0.77,,,,0.4006,TWO_SIDED,95.0,-1.04,2.58,,,"Regression, Linear",,,,,2.58,-1.04,0.4006
52590726,NCT01679613,103399711,SUPERIORITY_OR_OTHER,,Geometric Mean Ratio in percentage,160.48,STANDARD_DEVIATION,17.9,,1.0,TWO_SIDED,90.0,148.245,173.736,,p-value for ratio outside interval 0.8 - 1.25,ANOVA,"The model includes fixed effects for sequence, period, and treatment. Subjects within sequences is included as random effect.","Ratio calculated as nintedanib+ketoconazole divided by nintedanib (in %).

The standard deviation is actually the geometric coefficient of variation (gCV).",,,173.736,148.245,1.0000
52590727,NCT01679613,103399712,SUPERIORITY_OR_OTHER,,Geometric Mean Ratio in percentage,179.62,STANDARD_DEVIATION,29.9,,1.0,TWO_SIDED,90.0,157.557,204.779,,p-value for ratio outside interval 0.8 - 1.25,ANOVA,"The model includes fixed effects for sequence, period, and treatment. Subjects within sequences is included as random effect.","The standard deviation is actually the gCV (in %).

Ratio calculated as nintedanib+ketoconazole divided by nintedanib",,,204.779,157.557,1.0000
52590728,NCT01679613,103399713,SUPERIORITY_OR_OTHER,,Geometric Mean Ratio in percentage,168.09,STANDARD_DEVIATION,17.9,,1.0,TWO_SIDED,90.0,155.252,181.981,,p-value for ratio outside interval 0.8 to 1.25,ANOVA,"The model includes fixed effects for sequence, period, and treatment. Subjects within sequences is included as random effect.","The standard deviation is actually the gCV.

Ratio calculated as nintedanib+ketoconazole divided by nintedanib (in %).",,,181.981,155.252,1.000
52590729,NCT01772147,103399747,SUPERIORITY_OR_OTHER,,Mean Difference (Net),0.127,,,<,0.001,TWO_SIDED,95.0,0.089,0.164,,,Mixed Models Analysis,,,,,0.164,0.089,<0.001
52590730,NCT01772147,103399747,SUPERIORITY_OR_OTHER,,Mean Difference (Net),0.148,,,<,0.001,TWO_SIDED,95.0,0.111,0.185,,,Mixed Models Analysis,,,,,0.185,0.111,<0.001
52590731,NCT01184859,103399772,SUPERIORITY_OR_OTHER,,,,,,,0.211,,95.0,,,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.","t-test, 2 sided",,,,,,,0.211
52590732,NCT01184859,103399772,SUPERIORITY_OR_OTHER,,,,,,,0.01,,95.0,,,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.","t-test, 2 sided",,,,,,,0.010
52590733,NCT01184859,103399772,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,95.0,,,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.","t-test, 2 sided",,,,,,,<0.001
52590734,NCT01184859,103399772,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,95.0,,,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.","t-test, 2 sided",,,,,,,<0.001
52590735,NCT01184859,103399773,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-0.272,,,,0.194,TWO_SIDED,95.0,-0.685,-0.141,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.",ANCOVA,"Gender is a factor, and duration of action and baseline number of nocturnal voids are covariates.",,,,-0.141,-0.685,0.194
52590736,NCT01184859,103399773,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-0.547,,,,0.015,TWO_SIDED,95.0,-0.985,-0.108,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.",ANCOVA,"Gender is a factor, and duration of action and baseline number of nocturnal voids are covariates.",,,,-0.108,-0.985,0.015
52590737,NCT01184859,103399773,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-0.854,,,<,0.001,TWO_SIDED,95.0,-1.317,-0.391,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.",ANCOVA,"Gender is a factor, and duration of action and baseline number of nocturnal voids are covariates.",,,,-0.391,-1.317,<0.001
52709200,NCT03055338,103641827,OTHER,,Difference in LSM,-0.2,,,,,TWO_SIDED,95.0,-0.5,0.2,,,,,Difference in LSM = MK-8189 - Placebo,,,0.2,-0.5,
52590738,NCT01184859,103399773,SUPERIORITY_OR_OTHER,,Mean Difference (Net),-0.888,,,,0.001,TWO_SIDED,95.0,-1.426,-0.351,,"The p-value was not adjusted for multiplicity, because this study was not a confirmatory trial. A priori threshold for statistical significance is 0.05.",ANCOVA,"Gender is a factor, and duration of action and baseline number of nocturnal voids are covariates.",,,,-0.351,-1.426,0.001
52590739,NCT00635570,103399834,SUPERIORITY_OR_OTHER_LEGACY,,,,,,,0.05,TWO_SIDED,,,,,,"Chi-squared, Corrected",Yates's chi-squared test with 1 degree of freedom was used for analysis,,The trial sample size of 300 participants total (150 participants each group) was based on two-sided 5% significance testing with 80% power to detect a difference of 10% in adherence between students in the contraceptive vaginal ring group and oral contraceptive pill group.,,,,0.05
52590740,NCT00635570,103399835,SUPERIORITY_OR_OTHER_LEGACY,,,,,,>,0.05,TWO_SIDED,0.0,,,,,"Chi-squared, Corrected",,,,,,,>0.05
52590741,NCT00635570,103399836,SUPERIORITY_OR_OTHER_LEGACY,,,,,,>,0.05,,,,,,,"Chi-squared, Corrected",,,,,,,>0.05
52590742,NCT00635570,103399837,SUPERIORITY_OR_OTHER_LEGACY,,,,,,>,0.05,,,,,,,"Chi-squared, Corrected",,,,,,,>0.05
52590743,NCT00332488,103399849,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.08,,,,0.42,TWO_SIDED,95.0,-0.11,0.27,,,ANCOVA,,,ANCOVA fitting model change from baseline in A1c with fixed effects for treatment and pooled site and baseline A1c as a covariate,,0.27,-0.11,0.420
52590744,NCT00332488,103399850,SUPERIORITY_OR_OTHER,,Mean Difference (Final Values),0.91,,,<,0.001,TWO_SIDED,95.0,0.69,1.14,,,ANCOVA,Type III,,ANCOVA fitting model change from baseline in A1c with fixed effects for treatment and pooled site and baseline A1c as a covariate,,1.14,0.69,< 0.001
52709201,NCT03055338,103641827,OTHER,,Difference in LSM,-0.4,,,,,TWO_SIDED,95.0,-0.8,0.1,,,,,Difference in LSM = Risperidone - Placebo,,,0.1,-0.8,
52590745,NCT00275301,103399852,SUPERIORITY_OR_OTHER,,,,,,<,0.05,TWO_SIDED,95.0,,,,,"Regression, Linear",,,Examination of relationship between Borderline Personality Disorder symptoms and brain metabolism at baseline.,,,,<0.05
52590746,NCT03722485,103399858,SUPERIORITY,,,,,,,0.292,,,,,,"Confounding variables of image capture techniques, image quality and image analysis noted throughout study conduct prohibits any definitive conclusions to be drawn from this analysis.","Regression, Linear","Test of treatment effect using a generalized linear model with treatment arm, baseline values, and clinical site as factors.",,,,,,0.2920
52590747,NCT03722485,103399859,SUPERIORITY,,,,,,,0.0213,,,,,,"Confounding variables of image capture techniques, image quality and image analysis noted throughout study conduct prohibits any definitive conclusions to be drawn from this analysis.",Wilcoxon (Mann-Whitney),,,,,,,0.0213
52590748,NCT03722485,103399860,SUPERIORITY,,,,,,,0.7422,,,,,,"Confounding variables of image capture techniques, image quality and image analysis noted throughout study conduct prohibits any definitive conclusions to be drawn from this analysis.",Wilcoxon (Mann-Whitney),,,,,,,0.7422
52590749,NCT03722485,103399861,SUPERIORITY,,,,,,,0.6322,,,,,,,Fisher Exact,,,,,,,0.6322
52590750,NCT00821119,103399876,SUPERIORITY_OR_OTHER,,Risk Ratio (RR),0.7,STANDARD_ERROR_OF_MEAN,0.16,<,0.05,TWO_SIDED,95.0,0.48,1.14,,,risk ratio (RR),,,"Based on previous data from our NICU, 40 - 45% of our preterm infants administered early NCPAP for RDS needed intubation and mechanical ventilation within the first 72h of life. We estimated a 20% absolute reduction in the need of using ETT ventilation with the early use of NIPPV. A sample size of 100 infants per group was calculated with a power of 80% and an alpha error of 5%.

The analysis was performed according to the intention-to-treat principle.",,1.14,0.48,<0.05
52590751,NCT00821119,103399877,SUPERIORITY_OR_OTHER,,Risk Ratio (RR),0.7,STANDARD_ERROR_OF_MEAN,0.16,,0.05,TWO_SIDED,95.0,0.48,1.14,,,risk ratio (RR),,,"Based on previous data from our NICU, 40 - 45% of our preterm infants administered early NCPAP for RDS needed intubation and mechanical ventilation within the first 72h of life. We estimated a 20% absolute reduction in the need of using ETT ventilation with the early use of NIPPV. A sample size of 100 infants per group was calculated with a power of 80% and an alpha error of 5%.",,1.14,0.48,0.05
52590752,NCT00821119,103399878,SUPERIORITY_OR_OTHER,,Risk Ratio (RR),1.06,STANDARD_ERROR_OF_MEAN,0.18,<,0.05,TWO_SIDED,95.0,0.62,1.78,,,risk ratio (RR),,,The study was not powered for this outcome. However this analysis was done with this limitation,,1.78,0.62,< 0.05
52709202,NCT00833105,103641900,SUPERIORITY_OR_OTHER,,,,,,<,0.025,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effect,,,,,,<0.025
52709203,NCT00833105,103641901,SUPERIORITY_OR_OTHER,,,,,,,0.299,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effect,,,,,,0.299
52709204,NCT00833105,103641902,SUPERIORITY_OR_OTHER,,,,,,,0.459,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effect,,,,,,0.459
52709205,NCT00833105,103641903,SUPERIORITY_OR_OTHER,,,,,,,0.343,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effect,,,,,,0.343
52709206,NCT00833105,103641904,SUPERIORITY_OR_OTHER,,,,,,,0.951,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effects,,,,,,0.951
52709207,NCT00833105,103641905,SUPERIORITY_OR_OTHER,,,,,,,0.371,TWO_SIDED,,,,,,Mixed Models Analysis,Random subject effect,,,,,,0.371
52590753,NCT01490359,103399905,SUPERIORITY_OR_OTHER,,Odds Ratio (OR),1.32,,,,0.008,TWO_SIDED,95.0,1.03,1.71,,"The GEE model included baseline measure of consistent condom use, intervention condition, time (6- vs. 12-mo follow-up), and type of partner (steady vs casual partners) with robust standard errors and an independent working correlation matrix.",generalized estimating equations (GEE),,Estimate is odds ratio (intervention vs. health control).,"Assuming alpha = 0.05, a 2-tailed test, ICC = 0.01, 15% attrition at 12-month follow-up, and N = 1,152 men in the trial from 44 neighborhoods with an average of 26 men in each neighborhood, the trial was estimated to have 81% power to detect a 10% increase in consistent condom use from 32% to 42% in the HIV/STI intervention group.",,1.71,1.03,.008
52590754,NCT01309243,103399913,NON_INFERIORITY_OR_EQUIVALENCE,"Null hypothesis: The FTC/RPV/TDF group was at least 12% worse than the EFV/FTC/TDF group with respect to the percentage of subjects achieving HIV-1 RNA \< 50 copies/mL (""response rate,"" as defined by the snapshot analysis algorithm) at Week 48.

Alternative hypothesis: The FTC/RPV/TDF group was less than 12% worse than the EFV/FTC/TDF group with respect to the percentage of subjects achieving HIV-1 RNA \< 50 copies/mL at Week 48.",Difference in the response rates,4.1,,,,,TWO_SIDED,95.0,-1.1,9.2,,,,,"The baseline stratum-weighted (HIV-1 RNA ≤ 100,000 and \> 100,000 copies/mL) difference in virologic success rates and its 95% CI were from baseline HIV-1 RNA adjusted Mantel-Haenszel proportions.","The analysis was to assess the noninferiority of FTC/RPV/TDF versus EFV/FTC/TDF using a 95% confidence interval (CI) approach, with a noninferiority margin of 12% (lower bound of CI \> -12%).

700 subjects allocated 1:1 to either treatment arm was predicted to give \> 95% power when the proportion of responders in both treatment groups for the primary endpoint is 80% at Week 48.",,9.2,-1.1,
52590755,NCT01309243,103399914,SUPERIORITY_OR_OTHER,,Difference in the response rates,5.5,,,,,TWO_SIDED,95.0,-0.6,11.5,,,,,"The baseline stratum-weighted (HIV-1 RNA ≤ 100,000 and \> 100,000 copies/mL) difference in virologic success rates and its 95% CI were from baseline HIV-1 RNA adjusted Mantel-Haenszel proportions.",,,11.5,-0.6,
52590756,NCT01309243,103399915,SUPERIORITY_OR_OTHER,,Difference in LSM,11.0,,,,0.34,TWO_SIDED,95.0,-11.0,32.0,,"The p-value, and difference in least square means (LSM) and its 95% CI are from analysis of variance (ANOVA) with treatment and baseline HIV-1 RNA levels (≤ 100,000, \> 100,000 copies/mL) as fixed effect.",ANOVA,,,,,32,-11,0.34
52590757,NCT01309243,103399916,SUPERIORITY_OR_OTHER,,Difference in LSM,20.0,,,,0.17,TWO_SIDED,95.0,-9.0,49.0,,"The p-value, and difference in LSM and its 95% CI are from ANOVA with treatment and baseline HIV-1 RNA levels (≤ 100,000, \> 100,000 copies/mL) as fixed effect.",ANOVA,,,,,49,-9,0.17
52590758,NCT01309243,103399917,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,,,,,P-value for the difference in change from baseline at Week 48 is from ANOVA with treatment as fixed effect.,ANOVA,,,,,,,< 0.001
52590759,NCT01309243,103399918,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,,,,,P-value for the difference in change from baseline at Week 48 is from ANOVA with treatment as fixed effect.,ANOVA,,,,,,,< 0.001
52590760,NCT01309243,103399919,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,,,,,P-value for the difference in change from baseline at Week 48 is from ANOVA with treatment as fixed effect.,ANOVA,,,,,,,< 0.001
52590761,NCT01309243,103399920,SUPERIORITY_OR_OTHER,,,,,,<,0.001,,,,,,P-value for the difference in change from baseline at Week 48 is from ANOVA with treatment as fixed effect.,ANOVA,,,,,,,< 0.001
52590762,NCT01670188,103400009,SUPERIORITY,,,,,,,0.02,,,,,,,"t-test, 2 sided",,,,,,,0.02
52590763,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation coefficient,0.726,,,<,0.001,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from SMBG measurements.,,,,<0.001
52590764,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation coefficient,0.522,,,,0.004,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from SMBG measurements.,,,,0.004
52590765,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation Coefficient,0.784,,,<,0.001,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from SMBG measurements.,,,,<0.001
52590766,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation Coefficient,0.533,,,,0.011,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from CGMS measurements.,,,,0.011
52590767,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation Coefficient,0.479,,,,0.009,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from CGMS measurements.,,,,0.009
52590768,NCT01954771,103400011,SUPERIORITY_OR_OTHER,,Correlation Coefficient,0.801,,,<,0.001,TWO_SIDED,,,,,,Correlation analysis,,,The correlation study between HbA1c and MBG (mean blood glucose) from CGMS measurements.,,,,<0.001
52590769,NCT00424177,103400053,SUPERIORITY_OR_OTHER,,Proportion of subjects in Cycle 2 or 3,0.87,,,,,,95.0,0.74,0.94,,,,,,,,0.94,0.74,
52590770,NCT02551692,103400060,OTHER,,Partial sum of squares,855.65,,,,0.534,TWO_SIDED,,,,,,ANOVA,,,,,,,0.534
52590771,NCT02551692,103400061,OTHER,,Partial sum of squares,29602.69,,,,0.26,TWO_SIDED,,,,,,ANOVA,,,,,,,0.26
